Open time,Open,High,Low,Close,Volume,Close time
2020-10-29 01:30:00.000,0.00228620,0.00228890,0.00228210,0.00228330,16015.82000000,2020-10-29 01:59:59.999
2020-10-29 02:00:00.000,0.00228340,0.00228820,0.00228160,0.00228270,16448.44000000,2020-10-29 02:29:59.999
2020-10-29 02:30:00.000,0.00228180,0.00228750,0.00228120,0.00228560,17972.42000000,2020-10-29 02:59:59.999
2020-10-29 03:00:00.000,0.00228560,0.00229140,0.00228290,0.00228540,21009.64000000,2020-10-29 03:29:59.999
2020-10-29 03:30:00.000,0.00228480,0.00228520,0.00227930,0.00227950,23937.12000000,2020-10-29 03:59:59.999
2020-10-29 04:00:00.000,0.00227960,0.00229040,0.00227960,0.00228770,11229.58000000,2020-10-29 04:29:59.999
2020-10-29 04:30:00.000,0.00228700,0.00229170,0.00228220,0.00229160,15856.34000000,2020-10-29 04:59:59.999
2020-10-29 05:00:00.000,0.00229130,0.00229260,0.00228570,0.00228860,10705.75000000,2020-10-29 05:29:59.999
2020-10-29 05:30:00.000,0.00228880,0.00229100,0.00228700,0.00228840,9177.72000000,2020-10-29 05:59:59.999
2020-10-29 06:00:00.000,0.00228830,0.00229260,0.00228410,0.00228580,16300.99000000,2020-10-29 06:29:59.999
2020-10-29 06:30:00.000,0.00228610,0.00228610,0.00227690,0.00228350,27839.40000000,2020-10-29 06:59:59.999
2020-10-29 07:00:00.000,0.00228330,0.00228660,0.00228010,0.00228380,14809.38000000,2020-10-29 07:29:59.999
2020-10-29 07:30:00.000,0.00228270,0.00228830,0.00227870,0.00228520,10796.14000000,2020-10-29 07:59:59.999
2020-10-29 08:00:00.000,0.00228570,0.00228950,0.00227890,0.00228740,9964.38000000,2020-10-29 08:29:59.999
2020-10-29 08:30:00.000,0.00228640,0.00229180,0.00228200,0.00229160,22606.94000000,2020-10-29 08:59:59.999
2020-10-29 09:00:00.000,0.00229130,0.00229180,0.00228380,0.00228660,4422.89000000,2020-10-29 09:29:59.999
2020-10-29 09:30:00.000,0.00228660,0.00228920,0.00227980,0.00228700,2395.32000000,2020-10-29 09:59:59.999
2020-10-29 10:00:00.000,0.00228670,0.00228770,0.00227960,0.00228320,4822.81000000,2020-10-29 10:29:59.999
2020-10-29 10:30:00.000,0.00228300,0.00229110,0.00228100,0.00228730,3718.33000000,2020-10-29 10:59:59.999
2020-10-29 11:00:00.000,0.00228750,0.00228920,0.00227930,0.00227990,3590.69000000,2020-10-29 11:29:59.999
2020-10-29 11:30:00.000,0.00227990,0.00228540,0.00227680,0.00228340,4125.42000000,2020-10-29 11:59:59.999
2020-10-29 12:00:00.000,0.00228340,0.00228880,0.00227230,0.00227260,14764.12000000,2020-10-29 12:29:59.999
2020-10-29 12:30:00.000,0.00227420,0.00228050,0.00227040,0.00227760,11811.56000000,2020-10-29 12:59:59.999
2020-10-29 13:00:00.000,0.00227760,0.00228650,0.00227660,0.00228290,5752.08000000,2020-10-29 13:29:59.999
2020-10-29 13:30:00.000,0.00228270,0.00228570,0.00227650,0.00227960,12918.65000000,2020-10-29 13:59:59.999
